EXP__FIELD,HMA__FIELD,LSI1__FIELD,NRAMP__FIELD,QHB__FIELD,RSS1__FIELD,SHR__FIELD,polyA__FIELD,X35S__FIELD
OS01G0100100,15.19211681,11.01362018,13.84043849,10.39316652,10.74915563,12.66913614,7.945276099,9.897981253,10.63263166
OS01G0100200,1.101137256,2.455657468,2.573236825,6.361974648,0.526181107,2.32196928,0.954856394,1.806089126,2.377781273
OS01G0100300,1.147917813,2.343746298,3.580293705,7.243929896,0.54372515,1.419751908,1.095840516,1.977238682,2.006151991
OS01G0100400,9.47672958,8.728841927,1.753997569,14.35734987,7.73400067,11.26734019,7.5559724,7.059815564,6.115019515
OS01G0100466,10.04424501,8.693354143,2.129503487,16.99135169,8.304358066,7.957861477,8.333983336,7.106762289,6.937747972
OS01G0100500,33.24286629,22.37529564,16.74960233,28.19474263,15.71039734,21.75170924,18.24740066,19.65631958,16.31594067
OS01G0100600,6.542326858,14.01948016,13.03051863,8.382356098,6.258863073,11.46734615,9.033949618,7.791074874,8.248508526
OS01G0100650,8.335334619,19.04035058,25.16685968,13.37787656,5.992811726,13.5461492,11.77661527,11.75641308,13.78043756
OS01G0100700,99.63212431,121.2287436,81.11599855,116.5520057,144.7402969,116.1971871,177.0084247,142.9782063,99.43697176
OS01G0100800,8.114543222,17.93619343,16.75002353,13.50344964,5.046428941,11.37470394,12.23341622,8.965412656,9.924649669
OS01G0100900,55.20936236,49.94839481,27.77611226,37.92060892,41.62892884,67.69701116,35.67608922,36.04530772,49.7619145
OS01G0101150,1.661445098,1.094786649,2.425246688,0.878583676,0.296454672,0.652633159,0.746201157,0.416391305,1.381498938
OS01G0101200,7.322530807,9.227449384,9.338900524,8.561069227,8.871178387,8.969663751,7.173043276,6.660109362,8.354446196
OS01G0101300,8.349971449,12.01102787,18.7421992,16.53066953,11.77120964,8.810763721,11.68286155,9.633116982,12.55694219
OS01G0101600,8.628920549,8.185733019,7.365609163,7.452378103,5.803484746,9.342836536,15.07188073,4.316273879,4.840411315
OS01G0101700,17.28959847,15.24345306,21.05365232,27.44765803,10.53818156,12.70404783,16.53990377,15.17051444,18.58327932
OS01G0101800,2.121422914,4.821927778,0.512694904,2.078899755,4.39737373,2.894668956,2.149118938,2.628767091,0.4460754
OS01G0101850,2.200475006,3.570533637,0.391565989,2.113536044,3.865792397,1.892583603,1.247673397,1.941815716,0.389642228
OS01G0102000,2.55021142,2.28764795,0.388938613,2.620365876,1.892342978,2.362992441,2.578416523,2.426834539,1.873512986
OS01G0102300,0.427984576,1.251515568,1.730203214,0.521102113,0.4188346,0.828146507,2.773048034,0.523030953,0.785557391
OS01G0102500,16.87359239,24.90187091,20.86542145,21.66879784,26.65288466,20.11148747,19.94089086,22.28511467,29.01778594
OS01G0102600,4.253621873,4.248656598,3.852705118,5.627810266,5.264540692,4.740194899,5.729830166,3.612235413,6.09770239
OS01G0102700,103.6450423,78.6099506,114.1211465,67.34540306,128.1325888,92.33686995,82.99887549,110.7333646,86.84128656
OS01G0102800,5.880025587,8.301305965,7.071410963,4.490943216,3.442225927,5.839521322,6.559293228,3.69705117,3.879836322
OS01G0102850,2.119743758,1.396173491,3.96253534,0.498135748,0.879481491,1.074879245,5.74057608,0.759233044,0.78363551
OS01G0102900,17.65277525,10.19552618,9.413871997,17.14906473,5.348690848,11.71714316,15.39924372,4.310221283,12.10291469
OS01G0103000,13.61322059,10.16097912,4.129040136,14.66964512,16.22094207,12.11941114,12.08889242,14.82655372,9.724671386
OS01G0103075,2.24775756,1.256628379,0.805113666,1.199854121,5.984130945,1.514594862,3.535822008,1.364175606,3.230282727
OS01G0103100,2.130934375,1.033256143,0.662000521,0.986573805,5.544528322,1.285346208,2.907311239,1.199411376,2.765843549
OS01G0103400,6.052809,7.117790358,7.731618359,8.551651292,7.664810231,7.035273865,12.41674144,6.686933749,1.272397678
OS01G0103600,13.51774935,16.72338416,19.44224996,11.33052226,15.49209659,16.60395843,18.77367973,16.93266634,9.559145466
OS01G0103650,1.878949819,1.373265076,0.833789267,0.903945653,0.816852289,2.308294767,1.501168592,0.212394959,0.469538692
OS01G0103700,3.627526228,3.098901142,1.756683277,2.374875917,1.586694444,2.348376353,1.899984421,1.328125131,1.333112621
OS01G0103800,12.95759174,12.12982563,10.13598184,13.36105175,15.82138214,15.27771844,19.80172249,12.23956965,11.82284747
OS01G0103900,1.026499635,0.544121675,0.517363855,1.019495253,0.468003531,1.331775248,1.589846705,0.63473547,0.520522202
OS01G0104000,9.891399383,6.304574783,9.341530218,13.52152811,12.34382611,8.866943821,10.83644986,7.469479439,11.69322211
OS01G0104100,24.24215641,21.85686193,40.25519509,43.82286006,26.40535889,26.68062495,23.33257197,26.20472355,35.99958092
OS01G0104200,4.530647783,8.636758761,0.900043048,2.406685849,4.034926097,2.635455363,0.899140876,3.408206528,3.011581557
OS01G0104400,276.2236256,294.1165157,46.63144227,1182.943774,166.2077089,386.5102032,224.0440785,343.1176179,598.8402479
OS01G0104600,8.884342645,7.475209988,8.898227722,8.71824735,8.541854683,8.77212075,7.982662984,8.782662778,7.310374874
OS01G0104800,34.78903591,25.18315098,30.69916759,27.30354766,26.80170269,28.07149134,26.07782099,18.25500702,26.83823162
OS01G0104900,79.51405422,77.41426229,10.11556301,116.0479491,114.5227713,52.36584974,72.0350194,58.66849561,44.90799264
OS01G0105300,3.164873891,4.577247455,1.263347243,1.471926814,1.581890924,2.470221388,3.08841838,1.366869919,0.910023886
OS01G0105400,40.53672351,31.9655225,9.537771779,13.25262018,15.72030552,35.22470645,39.1323033,16.74260471,7.704964617
OS01G0105800,0.886686935,2.052519161,11.78038643,4.793056365,4.960546914,2.318399666,1.923485482,2.859935463,7.313475512
OS01G0105900,41.52560508,42.52824633,10.32741628,19.98068638,31.76090785,40.82195763,38.64344477,52.42547234,19.29914451
OS01G0106200,115.4243354,88.12487505,150.856256,105.497897,176.5344292,98.42573903,82.74699649,128.41207,82.86116572
OS01G0106300,4.241310992,2.446674044,1.738904149,1.580680404,8.653478188,1.411697375,2.19274275,4.210882866,0.60781069
OS01G0106400,168.9840275,170.2573916,27.17605156,56.4895738,360.3116878,165.0467816,187.4001682,203.4446803,308.6722442
OS01G0106500,40.38028978,22.38443632,31.99910093,33.00911649,30.64513459,27.7304869,46.84253008,37.07616591,21.72385383
OS01G0106600,2.384105336,7.599983493,2.258984346,88.09574494,4.825465027,2.54439953,5.218893844,4.951159706,27.71113011
OS01G0106700,13.32083777,12.49505126,2.994138478,5.563543357,3.755746737,6.56433117,11.60899246,3.641119444,3.230065657
OS01G0106800,92.0347782,91.86096419,94.75908947,96.12724302,86.76401014,83.17386325,100.3762111,133.1161041,64.68428865
OS01G0106900,10.07481581,15.64118018,7.757253915,19.37200866,20.78649333,21.50638449,18.48405329,20.51274296,32.29081921
OS01G0107000,19.8291587,11.44680846,23.1981625,26.94209767,22.26171587,14.57593103,17.48547544,12.49398376,22.15053538
OS01G0107400,23.78467837,12.13574705,19.56984161,8.287836494,10.34459313,4.776026866,14.2506853,7.229921551,4.026025806
OS01G0107700,2.170030516,1.723318246,0.299795723,2.29768061,2.261795465,3.223686244,1.975628135,1.988902252,2.189670106
OS01G0107750,2.517581656,1.841928012,0.355865057,2.23140933,2.04730309,3.40043392,1.74528492,2.284904923,2.43119665
OS01G0107900,13.97828045,13.38163974,25.18575617,33.34825977,15.9201253,15.88041686,9.099100435,14.44925074,24.34762309
OS01G0108000,12.14223294,10.87791915,17.0607049,16.27538201,50.30265884,14.86441625,8.829239446,12.66303037,17.84991688
OS01G0108200,17.60957494,9.327631512,17.36534981,8.512685312,11.00917749,16.94814967,7.105150114,9.550458714,13.63900004
OS01G0108600,24.50188938,53.99837014,8.096601934,58.66034168,43.79393499,54.48107302,43.84960328,53.08672298,95.6386201
OS01G0108800,8.282434121,6.135729157,1.172439275,2.92066247,9.467830747,5.515992506,7.490040234,5.32322423,5.660163056
OS01G0109000,20.80578794,21.17347314,2.31196918,8.300781515,6.348879958,20.6998756,19.03509254,4.858158221,2.000052577
OS01G0109201,10.71233097,5.871883579,4.020964711,15.76108696,5.85871728,9.47138282,6.875904191,5.331225646,11.14807253
OS01G0109300,11.11370438,6.091893394,4.171623642,16.35162896,6.078233776,9.826259949,7.133533006,5.485566845,11.54604862
OS01G0109432,0.578715797,2.630910919,0.611079,13.96680834,0.540645151,1.783396159,0.625906743,1.14300559,9.069086618
OS01G0109700,58.26014683,45.26051603,58.10986709,49.11354091,37.16474473,52.73198174,52.92952729,31.94532089,49.93977416
OS01G0109750,1.56137697,4.125044039,13.13638819,4.168606081,4.06335295,3.058952627,5.160749747,7.384441917,8.272058037
OS01G0110050,0.293483774,2.240598032,0.430003611,2.500158828,0.189550211,0.709969479,1.351658943,0.208282247,1.178383493
OS01G0110100,0.586738949,1.813511729,0.510118916,6.892973741,0.472936617,1.254272016,1.081959907,0.451526886,2.408255597
OS01G0110200,143.7966624,202.1143299,41.04923677,69.83699495,1017.749616,179.0383274,138.3912038,185.692855,97.04243033
OS01G0110400,27.30667443,34.7905049,90.65649578,18.43581943,25.32540166,42.1300819,31.85071104,36.00277184,42.41018307
OS01G0110500,8.548317385,12.03150888,2.100318548,14.54382533,15.21646967,16.80309149,11.77616787,9.796230476,15.76289944
OS01G0110600,11.51715132,15.1761701,2.614352716,18.87823739,17.14867485,20.04103226,10.85711135,11.74170231,19.83376246
OS01G0110800,0.54255754,0.5349783,0.829762363,4.570423915,3.122490904,1.073017478,1.059851125,0.785858815,1.551844339
OS01G0111100,2.785174692,0.254933416,4.983108781,3.50411476,0.214996174,2.084705673,1.081575195,1.223068278,1.447505029
OS01G0111200,35.71377546,31.25116722,47.58672337,35.24928549,32.51224895,33.6520889,36.6628476,29.31669562,32.24719115
OS01G0111300,7.021209616,5.446780329,11.68853953,0.840559644,2.292779201,5.348873981,9.826745982,5.233107543,3.338784317
OS01G0111400,2.525124265,2.789613174,9.991762457,4.356594306,3.422316066,2.677204385,2.658072271,2.971590182,4.627362606
OS01G0111500,5.94462545,1.870309174,0.23946011,0.217644903,1.913712371,1.659197625,3.41421405,2.007170147,0.121353144
OS01G0111700,3.587569698,0.996496236,1.809400796,0.550617925,2.88387559,0.647965782,0.78542575,4.485039237,3.465027218
OS01G0111800,16.36211376,33.73409562,14.31207888,29.75245251,22.89883382,24.38255306,21.92344771,39.64561972,17.57003888
OS01G0111900,206.249807,197.4803554,39.93304685,91.53759243,152.0463415,200.7755503,207.2477438,182.9979533,105.7157039
OS01G0112000,5.064893256,6.093280589,1.346508455,4.842393575,35.20995627,14.90534014,4.147667739,10.89126692,0.894617339
OS01G0112100,2.913121377,1.84059382,5.504814226,5.503116488,5.912346135,3.739910446,2.267473247,2.162951123,3.524210679
OS01G0112201,7.796369944,3.715004334,16.81572697,15.57397286,17.26565623,9.90350577,4.405642048,6.334549549,9.997114973
OS01G0112300,9.230515609,9.692335459,21.64705021,12.35853962,15.0536417,9.570813293,10.04052313,10.47800112,13.14474611
OS01G0112400,0.549696759,0.492581946,0.3462781,1.872658522,1.541330151,0.36934631,0.452389666,0.294610235,0.384923807
OS01G0112500,32.27537383,19.40999705,117.3720903,45.70796344,24.85715052,22.89433404,31.41201397,28.60241343,33.39896263
OS01G0112600,5.110083046,12.83076306,1.802161369,1.851704982,6.978492684,7.487569623,20.08822039,30.50933296,19.72106148
OS01G0113000,1.975401249,1.654306372,0.304642055,0.731708997,0.518857964,1.705548407,2.771909271,0.491176358,0.491085624
OS01G0113200,2.761613753,2.486463839,1.947086671,4.506841263,4.941783724,1.862046623,7.501970121,5.449808217,8.07352965
OS01G0113300,1.771477674,3.598368606,1.113853794,2.090576902,3.122371902,3.021913585,4.513786217,3.176936091,5.599179842
OS01G0113325,1.537584039,3.706053814,1.198754443,2.173293765,3.258953648,2.883731211,5.293695441,3.109283,5.663973121
OS01G0113350,0.63015621,0.74679148,8.295293561,0.428705428,0.346004285,1.296583276,1.1278022,0.86561272,1.070049849
OS01G0113400,5.837242007,2.878096615,1.249581356,1.416789935,2.268459031,5.846109443,5.797853248,3.568437843,4.249612872
OS01G0113450,6.686689545,2.95092077,1.531459396,1.586326689,2.928322543,6.341943633,6.800956437,4.453895754,5.363037616
OS01G0113500,0.625088514,0.819432996,0.479716454,0.09303857,0.818616505,0.673348078,1.923595786,0.368059163,1.36421034
OS01G0113600,3.418356499,3.616962277,1.354591353,2.576128977,3.719083491,4.564945273,3.905913851,6.031107565,5.901082518
OS01G0113650,2.862304508,2.666227956,1.361233777,3.347843142,4.939296263,4.08978574,4.166655783,6.639751334,8.101762212
OS01G0113700,7.425257523,7.936888846,1.127127419,2.729593805,3.049828939,5.421558062,2.356271356,3.151930493,6.7369443
OS01G0113800,0.380160935,0.666339821,0.431196593,0.61085252,0.730561857,1.060698838,0.784588263,0.589447542,2.297303783
OS01G0114100,1.837193217,1.455454288,2.623403743,1.587971673,1.013669351,2.12275781,2.530050886,0.917831575,1.12832953
OS01G0114200,1.099070246,0.749161965,1.906191279,0.451820216,0.2561669,4.860830185,1.167235542,0.325582559,1.035646284
OS01G0114300,1.724911916,0.718402463,2.817824931,0.689244897,0.411824426,0.62581649,0.777373458,0.514653989,1.543890935
OS01G0115200,43.75887496,63.80504467,9.624158183,15.42897731,19.63387243,54.56214688,71.81643138,13.57336565,9.560208572
OS01G0115300,17.12740239,23.47125135,3.391986847,5.945515714,7.068932417,19.27858552,24.25012392,5.303893413,3.496475563
OS01G0115800,1.89138405,0.862883217,1.921545073,0.560162602,0.991934646,0.686833612,1.561581751,0.725705174,1.050488055
OS01G0115900,0.406182248,0.39489827,0.914980913,1.481929944,1.160802528,0.635053768,0.124781316,0.124973799,1.308928361
OS01G0115950,1.924088417,0.762822824,1.778917781,0.573574183,1.160767758,0.679394664,0.68888998,0.646229612,0.902497958
OS01G0116300,2.111644164,0.606236027,0.98512903,1.010514428,0.375462327,0.559392696,0.752032011,0.394811798,0.358469222
OS01G0116600,32.45588757,27.72597472,25.9189572,15.38475136,22.22403458,30.56265913,24.04809222,22.17113283,22.12403903
OS01G0116900,0.498356422,0.184283264,0.567134052,0.335702667,0.501006861,0.193572681,0.408618647,0.134385622,0.591138148
OS01G0117100,0.857041526,0.836748494,0.77375344,0.575518228,0.40624712,1.066955195,2.189278482,0.289739888,0.256799888
OS01G0117450,0.630517593,0.874666168,0.169402236,0.320904305,0.171098702,0.447382353,0.303377297,0.139103521,0.76314616
OS01G0117600,0.652919739,0.806871434,0.258220998,0.377334789,0.740193665,0.973909753,1.780053495,0.436851106,1.115515235
OS01G0117650,0.4586998,0.916917032,0.293438609,0.363184416,0.751820129,1.106736962,1.967919693,0.476450713,1.02839707
OS01G0117900,0.54093291,0.231516915,0.755220424,0.336653461,0.222082994,0.273533354,0.991848436,0.099929316,0.143205879
OS01G0118000,111.7083073,119.7093813,97.99885275,118.4524779,141.715344,114.673529,114.2121235,138.8653618,124.1618595
OS01G0118100,18.32319073,19.39645945,17.87549356,20.02248081,15.2719757,15.60171562,18.45036322,10.93340047,17.19022638
OS01G0118300,7.234695296,3.875242756,0.373213712,3.09547777,3.623037635,6.329370037,4.570433307,3.408590736,0.951651747
OS01G0118400,154.5483652,168.1317731,10.74501528,26.61216327,56.14122124,236.3752568,158.6815322,99.83005659,56.30269112
OS01G0118600,13.56353843,15.1297489,2.659811132,16.12978164,6.469225569,17.13368319,14.01799751,6.74269452,7.167484992
OS01G0118700,84.54859555,70.51574192,22.43864567,30.8766504,28.8398346,88.15288168,79.77876276,56.9004496,49.71616561
OS01G0119000,16.2726877,19.43524772,3.823049796,3.438013298,7.879909084,19.95573194,17.34096921,14.66563173,8.344899156
OS01G0119100,58.57490699,82.12405156,4.158442159,19.25775356,26.70770401,114.5524254,62.69297368,44.50475922,32.39494472
OS01G0119500,13.3068871,13.3260013,22.90909465,19.53027031,24.0710823,20.15831706,14.06194541,14.77675237,21.16410095
OS01G0120300,3.262355614,2.661676645,1.50523368,1.230096755,0.865582764,3.321034829,2.748154041,1.653019452,1.877059772
OS01G0120400,4.435164777,17.32082585,37.2908252,16.99565418,12.70990875,10.45692097,14.9609775,13.22076206,18.6223221
OS01G0120500,4.001269845,2.775432908,7.975930407,11.28340802,5.683155818,2.493529028,6.036574492,4.378660106,6.004326653
OS01G0120600,7.901355838,8.511816646,13.63959284,5.783299936,7.461108331,5.095567619,8.560984002,7.873685838,7.6394649
OS01G0120700,52.89036547,54.95814304,18.48693038,25.7213323,29.48268759,52.63780418,45.07535193,36.07597133,18.15698784
OS01G0120800,126.7359598,99.00246947,86.16851015,81.7651668,80.22630817,101.4980158,116.5244521,56.25619817,76.03404035
OS01G0121000,3.421856549,3.146828181,1.568566818,5.377302341,2.307755773,3.541477139,2.772636219,7.025169688,6.759713691
OS01G0121100,41.76655025,57.85879491,85.57563802,60.19421029,44.67323169,55.69806977,28.09997532,61.06037745,49.393885
OS01G0121200,15.36466306,8.950233018,11.60444294,11.5851058,16.80371952,11.06416557,13.82937094,11.55516544,5.088831348
OS01G0121300,27.60656489,21.88099796,23.96126356,38.57262149,30.24463765,24.82067096,19.05403433,13.66256619,20.45711889
OS01G0121400,28.69207721,24.26574443,26.94166137,42.93385795,33.64984586,26.53393524,18.89285373,15.14747338,22.67427099
OS01G0121500,12.49179191,18.47569703,2.658271078,3.07881982,15.45370834,27.14499926,10.32703118,26.86764679,28.4036083
OS01G0121600,31.0878364,48.28621105,13.89127082,17.94438285,21.85759131,52.6042366,30.24635042,59.70734358,50.69423831
OS01G0121700,2.6114256,8.807287151,10.52690771,8.264836434,6.711430086,8.619096517,5.350243159,7.304006057,11.66931612
OS01G0121800,17.16916146,21.79094965,16.91009915,13.49689623,19.51975622,20.76678371,13.78334941,14.81479845,12.66211255
OS01G0124100,2.108360589,3.331511321,4.846368086,1.810293588,3.44114621,5.740718702,6.605602102,2.740230305,4.520233956
OS01G0124200,60.31821604,44.55523292,21.68664012,34.13945217,55.40332764,44.19832324,75.85257961,87.74250904,31.87562619
OS01G0124401,24.00250296,18.86989881,6.810243141,30.31688227,28.93900857,20.97412927,36.40484081,34.8302795,6.954891638
OS01G0124600,0.583765673,0.386799867,0.616411278,0.412747026,15.14606361,0.47516652,0.631368407,0.613942231,2.014161215
OS01G0124650,25.78579562,20.00058438,16.71160643,9.792792115,31.10172196,13.29375936,35.6709859,57.80790727,81.81024435
OS01G0124700,25.65774441,20.793198,17.40347893,10.40627055,32.82256585,14.07476772,37.44549672,60.4020345,85.75811852
OS01G0125600,12.57827213,7.670420546,7.670364293,6.988424871,25.74043789,5.955355839,6.619074342,7.795352212,2.582872753
