RSS1__CON2,RSS1__SUB,RSS1__SUB+R,X35S__CON2,X35S__SUB,X35S__SUB+R,polyA__CON2,polyA__SUB,polyA__SUB+R
OS01G0100100,6.985841279,9.792105803,7.764205627,10.40349061,10.16347678,8.987825509,8.749427191,9.137395434,10.69893733
OS01G0100200,1.144518588,2.577037299,2.415072754,1.181990122,1.915118219,1.088642981,1.055858485,2.884229437,1.73928187
OS01G0100300,1.44543323,3.04100003,2.861563537,1.343299827,2.386940512,1.224955438,1.048874464,2.551919992,1.880525801
OS01G0100400,11.17705177,9.261477382,15.65938665,5.737883352,4.129385353,5.535860574,9.274544057,4.789191799,5.481872556
OS01G0100466,11.71281825,10.63257335,15.08060486,5.871065472,3.982459521,5.321577928,8.839163398,5.059090368,5.184697453
OS01G0100500,24.30082937,17.2760579,18.24805012,16.40946873,14.89000888,14.86418011,27.51407029,14.87105878,14.5618399
OS01G0100600,7.68024461,33.10271379,9.874783417,13.26687916,19.23030092,10.24585862,9.134865855,21.08325752,10.24933873
OS01G0100650,11.42648703,38.95577387,14.75747902,22.9920028,30.52445146,14.19331048,12.59542138,31.25051901,12.67071637
OS01G0100700,109.5875643,36.61134368,144.1572877,50.76444799,54.0982155,81.0810785,133.1516615,36.87193066,105.3926407
OS01G0100800,4.241404966,8.096082042,10.55085582,7.146722332,10.29702203,8.803426451,6.824257136,10.33542473,7.649798385
OS01G0100900,80.97831114,60.01578177,64.62810467,89.18818993,60.87226486,59.43753743,56.49342202,35.88091099,38.2179918
OS01G0101150,0.343779075,0.19469674,1.064471355,0.970123597,0.923314815,1.176384295,0.311817929,0.217392598,0.506933966
OS01G0101200,6.766494001,5.147236098,5.917905496,6.478627249,4.363200323,6.381044408,4.614958612,2.258738913,5.070729931
OS01G0101300,8.604916725,12.7444519,8.686119163,8.266164122,7.830560033,9.488803008,5.91237394,4.161747084,6.330824502
OS01G0101600,4.78581194,14.52390584,10.83561693,4.573883519,5.067581881,3.57756478,6.125436746,8.315711939,4.77638016
OS01G0101700,8.586090682,8.930576689,12.87459838,13.38420048,7.202309443,9.917451131,6.871457469,4.565061986,7.882786152
OS01G0101800,5.496756321,2.622571395,5.644882041,0.762933045,0.260001176,0.454356475,2.842925661,0.370487996,1.345280418
OS01G0101850,4.25133478,2.24610432,2.400723967,0.709806501,0.157979821,0.311814107,2.657332774,0.298844247,0.858011264
OS01G0102000,6.121409684,0.679773449,5.366674833,1.138636511,0.282060458,1.25507924,1.555451349,0.454715074,1.00772851
OS01G0102300,0.259498232,0.73349996,2.453649778,0.789396731,4.386732306,1.49815781,0.425529363,4.703908796,0.866949004
OS01G0102500,24.21396785,48.26206173,29.72919314,25.7915952,46.84190997,34.94034719,20.39153379,40.63463324,26.86888272
OS01G0102600,7.913698991,2.775929864,6.112422268,8.946325267,6.512080172,9.790700061,5.175783719,3.161237013,5.159223534
OS01G0102700,108.9532911,41.19800004,105.5583078,75.00257423,58.91143667,102.3781073,107.8011273,48.6209185,99.19577388
OS01G0102800,2.247779882,5.82788449,2.99726844,5.338391447,7.110015269,3.447407956,4.168408023,4.858202102,3.167349327
OS01G0102850,0.223636692,2.241322478,1.410344751,0.485633133,0.933933892,0.882708931,0.451829752,1.073502366,0.602977079
OS01G0102900,7.013951561,112.8408805,19.81955914,15.05533379,302.4898186,74.71898795,7.624772609,190.2496328,34.95286168
OS01G0103000,13.82215838,5.04771232,13.52275853,3.842232805,4.250427649,4.113597046,19.59801315,3.76133319,9.91908381
OS01G0103075,1.619996198,1.081052045,2.068325394,2.338079162,1.783599375,3.361732659,1.457146953,0.658906355,1.624929254
OS01G0103100,1.33203344,0.888889416,1.735878159,1.92247342,1.466555301,2.86775661,1.381694837,0.601541043,1.483910925
OS01G0103400,4.552519145,2.445071855,3.534260774,1.58170173,2.117911542,1.156577043,5.040911815,9.685034601,4.880840796
OS01G0103600,18.17251577,11.92682282,15.2723187,10.40953874,8.956202303,12.45452062,16.53689918,10.90339911,12.67605546
OS01G0103650,0.628122536,3.447563751,2.166592074,0.328946013,0.792157755,0.283712415,0.575005465,2.295647545,0.449415268
OS01G0103700,1.388667137,2.194063492,2.44775287,1.225003588,1.516973376,1.341309887,1.498275407,2.683006645,1.906554733
OS01G0103800,14.55428006,7.444358356,17.62840513,11.33517321,5.261843651,11.49086253,17.30381404,4.483569632,15.09534399
OS01G0103900,0.810421337,0.461362313,0.858421996,0.638747989,0.854956687,0.339852733,1.205980463,0.348747897,0.347982379
OS01G0104000,7.002403296,8.591554668,9.703158885,10.15592789,8.518164391,8.513215895,5.597712022,5.243525859,6.439211885
OS01G0104100,23.4801512,21.14462531,18.08278221,27.27096768,29.28561923,22.66645536,21.21436862,20.60882395,16.01074435
OS01G0104200,7.364088698,1.859024397,2.027926415,2.394598571,1.582803454,0.99958439,4.597840861,1.094002291,0.65798446
