CMZ__PLATE,QHB__PLATE,RSS1__PLATE,SCR__PLATE,SHR__PLATE,X35S__PLATE,polyA__PLATE
OS01G0100100,31.36469273,19.2255897,12.92540976,26.72901835,27.8364287,15.62078142,16.37828406
OS01G0100200,2.368835454,0.72737351,0.536758759,1.986551074,1.324098505,0.735641085,0.504397618
OS01G0100300,1.413337942,0.730578205,0.573009527,2.764003778,1.410188851,0.878896639,0.623217819
OS01G0100400,12.79924369,12.20498584,9.044933397,7.454949103,8.719109253,5.966222773,6.28032572
OS01G0100466,8.460515197,10.12866317,6.786528023,1.727676034,7.946880833,5.744120861,3.292233204
OS01G0100500,22.84011454,21.76532214,24.74322602,25.95181622,22.30261723,19.94321473,28.12243867
OS01G0100600,39.48072683,11.13273372,9.035582713,47.68551751,30.7115281,9.496148208,10.85899419
OS01G0100650,63.10803934,16.88144906,15.0850391,63.14614183,54.00013215,14.20992892,15.56786584
OS01G0100700,111.5678956,152.0686356,139.7425305,104.8275502,150.6217195,61.06885186,145.9077433
OS01G0100800,22.05468941,9.857567677,4.921456456,23.61117497,21.88989475,6.925664672,11.31871985
OS01G0100900,136.3449658,85.32612838,111.8755079,131.3437374,139.1916214,155.1581033,86.38767256
OS01G0101150,0.269734542,0.653412444,0.70751374,1.55288951,0.765765381,0.788118571,0.44173461
OS01G0101200,9.985393765,9.604461363,7.060288419,7.547735887,5.739642259,16.9964298,5.185680646
OS01G0101300,10.22153841,8.225381853,9.421968574,8.011791617,7.369465009,12.22968708,5.127979787
OS01G0101600,21.89488377,8.713277972,6.985791103,26.60163416,15.60064258,6.993702618,13.23887657
OS01G0101700,9.5157123,12.45484966,9.510413659,11.18133875,4.928405914,16.95971233,6.066354186
OS01G0101800,8.178657436,6.342094243,8.90351023,1.841216989,7.002374547,0.756486448,2.313425819
OS01G0101850,6.050788119,5.640000111,7.394097849,1.958737742,6.080607719,0.930260526,2.335401182
OS01G0102000,2.251465647,1.576074182,5.997410768,2.318674514,2.076631635,4.286804361,1.293158492
OS01G0102300,5.710806356,2.423324204,1.484155123,4.416326852,3.207648619,6.330533545,2.272488073
OS01G0102500,9.31363992,11.44614452,11.71500936,18.37750309,11.23762077,9.211556995,9.144311004
OS01G0102600,3.915562441,5.894435935,6.127584416,7.934161393,10.44711258,27.7617795,5.400472949
OS01G0102700,70.90430174,162.5079143,128.3685057,71.53113189,88.10023867,85.94218816,135.9790503
OS01G0102800,14.73031569,8.126713055,4.746235127,11.46385654,10.02871959,5.682595383,6.528398504
OS01G0102850,3.189782801,0.89086085,0.254697158,3.415227873,2.799268158,0.315277091,1.522043036
OS01G0102900,29.47516173,31.99227346,26.23637026,49.00697294,87.36386904,422.6529671,62.72430209
OS01G0103000,15.77572352,28.53531102,17.76028038,16.90848192,7.945331133,3.816214435,14.03963721
OS01G0103075,0.234307117,0.639472437,0.702614401,3.43153515,1.624755022,0.567072932,0.215352417
OS01G0103100,0.192657807,0.525802882,0.577721033,2.821561914,1.335946359,0.466272766,0.18449669
OS01G0103400,4.921494821,1.581026317,2.402106604,4.797536415,4.488157599,0.666331295,3.383337991
OS01G0103600,15.575433,18.82433783,18.54545271,14.82998846,12.295622,15.06503302,20.81684128
OS01G0103650,5.78213425,1.347923682,0.576356477,2.451378622,4.713888445,0.65682896,1.280635379
OS01G0103700,6.924414981,3.186480304,1.65631283,10.03045551,5.667644361,1.331136407,2.685787837
OS01G0103800,19.69957278,25.13348407,15.93488449,29.0080833,16.45450993,6.870548549,17.90663161
OS01G0103900,1.034630331,1.098727743,1.08156038,2.540971361,1.740048922,0.660568171,0.798876037
OS01G0104000,3.552727573,14.91683885,8.129678115,4.60298104,5.986173997,11.49219518,7.598506851
OS01G0104100,24.01559079,31.37615511,31.40462557,37.96877439,18.2880992,42.05451381,29.79352137
OS01G0104200,2.992791023,5.490480862,6.839743124,3.053883744,2.578900374,0.864699058,2.686907878
OS01G0104400,114.1227756,118.1792743,195.162199,93.37574622,111.431017,197.4845875,162.1846256
OS01G0104600,11.13999405,6.80369725,6.312862643,10.45826613,6.566179503,7.989140871,7.595925173
OS01G0104800,45.80087246,37.39705268,33.78917629,47.14336106,45.54423227,27.55493041,30.0856735
