"CASP__CON"	"CASP__WD"	"CASP__WD.R"	"CASP__WL"	"CASP__WL.R"	"CMZ__CON"	"CMZ__WD"	"CMZ__WD.R"	"CMZ__PLATE"	"CMZ__WL"	"CMZ__WL.R"	"EXP__FIELD"	"HMA__FIELD"	"LSI1__CON"	"LSI1__WD"	"LSI1__WD.R"	"LSI1__FIELD"	"LSI1__WL"	"LSI1__WL.R"	"NRAMP__FIELD"	"QHB__CON"	"QHB__WD"	"QHB__FIELD"	"QHB__PLATE"	"RSS1__CON2"	"RSS1__CON"	"RSS1__WD"	"RSS1__WD.R"	"RSS1__FIELD"	"RSS1__PLATE"	"RSS1__SUB"	"RSS1__SUB.R"	"RSS1__WL"	"RSS1__WL.R"	"SCR__CON"	"SCR__WD"	"SCR__WD.R"	"SCR__PLATE"	"SCR__WL"	"SCR__WL.R"	"SHR__FIELD"	"SHR__PLATE"	"polyA__CON2"	"polyA__CON"	"polyA__WD"	"polyA__WD.R"	"polyA__FIELD"	"polyA__PLATE"	"polyA__SUB"	"polyA__SUB.R"	"polyA__WL"	"polyA__WL.R"	"X35S__CON2"	"X35S__CON"	"X35S__WD"	"X35S__WD.R"	"X35S__FIELD"	"X35S__PLATE"	"X35S__SUB"	"X35S__SUB.R"	"X35S__WL"	"X35S__WL.R"
"OS01G0134800"	0.734169522	0.475846356	0.625411118	0.744032402	1.085086088	0.378545605	0.344616589	0.649531765	0.432113881	2.570174206	6.036889611	3.237377373	0.768536209	0.317207048	0.411285732	0.781240779	0.4303075	0.617950059	0.317344984	0.464849304	103.1479093	29.97360791	103.9918425	55.82697107	0.923585137	0.868357849	0.354450972	2.429720009	1.762550054	0.740034257	0.573202464	0.713021201	1.533356167	0.826358761	0.169105518	0.293660973	3.806764787	0.592653544	0.950293137	1.14834861	0.479454755	0.376118678	1.412609013	1.027232643	0.752941531	0.749603465	0.519438379	0.517224111	0.276038719	0.502302344	1.10627081	1.221078447	0.447955533	0.294866427	0.379136363	0.189493366	2.722230563	0.487874852	0.721912447	0.318504024	0.297835244	1.289341148
"OS01G0134850"	0.686681064	0.452252625	1.009284483	0.584038789	0.821783162	0.328011042	0.235509937	0.579424585	0.374428133	2.227064606	5.23098518	5.291491	0.493987431	0.35436773	0.436759333	0.676947766	0.726933441	0.535455807	0.274980497	0.402793488	96.19449912	30.29729289	103.1571525	54.91072582	1.02400825	1.023838028	0.34421952	2.785655999	1.487092717	0.9156351	0.496681866	0.388754408	1.366021083	0.986432787	0.146530501	0.254458222	3.298574509	0.513536292	0.347509443	1.058192081	0.41544916	0.325908101	0.979284291	0.688919854	0.649337535	0.693234626	0.627903857	0.50179244	0.214603269	0.378298381	0.923332413	1.035698158	0.404769192	0.342545684	0.355465158	0.283446274	2.576169312	0.444273052	0.622135559	0.389781148	0.258075242	0.927974072
"OS01G0136000"	0.371012851	4.209549489	2.795300211	0.577099985	1.137912935	0.922670949	6.27276889	1.53709625	0.563660062	0.877439686	3.684652241	0.49702486	0.42387889	1.371206333	5.125973939	2.462089376	1.616520017	0.502852925	0.984100319	0.556609335	0.528916733	162.6419095	0.465100087	1.327184926	2.269079717	0.449014836	3.677916468	0.864078202	0.404562282	0.245682517	3.752526661	0.75883719	1.533114645	0.505778462	0.483820784	5.193795273	1.270153285	0.556681979	1.237165626	0.993040653	0.602213544	0.7907993	0.338364488	0.309676445	54.56491552	0.519798842	0.19315646	0.23641517	2.21112685	0.730703111	0.305064584	0.390092217	1.364125679	1.922513599	96.99205343	4.012568815	0.471774102	1.017925925	5.835786576	4.334916748	1.759388938	3.62687018
"OS01G0136050"	0.45983729	5.2173606	3.46452494	0.715263885	1.410341446	1.143568229	7.586645912	1.905093511	0.698606302	1.087508119	4.566797345	0.61601792	0.525360024	1.699487775	6.353186852	2.674141646	2.003532176	0.623241286	1.219704447	0.689867555	0.655545048	187.2870636	0.576450016	1.389785166	1.775534222	0.556513784	4.291891425	0.946740482	0.501418814	0.304501536	4.396181123	0.940510919	1.566563654	0.626867228	0.599652647	5.941856752	1.574241548	0.689957591	0.877990369	1.230785192	0.746389899	0.9801251	0.41937256	0.337224747	62.80026328	0.644244237	0.239400179	0.293015487	2.583413862	0.905641241	0.378100303	0.45093484	1.612888774	2.2922593	117.29534	4.681220973	0.584721862	1.261628264	7.232936217	5.37274212	1.87626384	3.931312465
"OS01G0136100"	5.47644479	37.0479103	4.34091305	1.350858652	3.809887653	3.336645424	28.72005583	4.762989366	1.458613584	1.996313802	6.741549092	2.649562456	1.298941202	2.434651484	22.97774702	4.889749775	1.126434245	4.723115145	2.434840463	4.501662833	2.914193965	333.7538816	0.590184136	2.192453038	8.394168992	3.534406932	28.07359447	8.491587638	0.367669338	0.385584813	4.528158504	3.904036925	6.667610107	4.629203471	1.835574727	48.25232522	4.324472592	1.84080148	3.701266297	3.721145787	1.552996003	1.082471136	2.421875605	2.112812624	332.8826004	6.031215736	0.626464404	0.191956166	5.827025026	3.384738748	2.540056992	3.36903607	7.033179819	6.722252056	532.3087211	18.49976134	2.365815738	5.573124364	15.00654148	14.3289135	11.50438078	9.725230118
"OS01G0136200"	1.348231477	19.56433731	4.47855299	0.832767608	0.794820793	1.848850162	16.56453047	2.161530936	0.504445774	1.775216436	5.504391049	0.927764235	0.788543639	4.127694493	25.71646192	3.361397346	2.907843935	4.146806148	2.620830052	1.096382111	2.06183786	241.9861937	0.416239838	0.591966884	3.449076801	1.143316996	15.72298397	2.761750171	0.456324857	0.254697158	3.755754653	1.286693778	1.50767772	1.912768038	0.892055048	17.04230947	2.017203719	0.49820076	1.863818802	1.178305885	1.90373399	1.173156882	0.619679574	1.019876261	236.1520971	2.427810918	0.542421869	0.197386095	2.991367658	1.326362701	1.114450771	0.870434656	3.320731695	3.775270063	380.461383	9.728874488	2.247291772	0.815795543	8.182929651	6.205765068	4.216403699	5.269109976
"OS01G0159600"	2.315174111	126.5042141	3.652141965	0.607389178	0.453606294	0.692138709	172.8488143	1.380164913	0.445761718	1.09789546	2.280993137	0.758714442	1.768484342	0.527435926	101.034521	0.655975212	0.415045432	0.808047153	0.881621736	0.449165574	3.306159581	440.1017847	0.367206695	2.992970756	0.530284422	0.446811804	84.72140348	2.500999486	0.487839993	0.418847445	4.179131254	0.529970541	0.510555959	1.247975392	1.879019382	136.3169598	1.174548925	0.44024321	1.298587638	0.630481865	4.202715054	0.625391221	0.222651032	0.307105913	222.4178426	0.398665374	0.875183671	0.201902337	1.387035459	0.278745445	0.352218324	0.597252587	0.928801202	0.301937184	92.88427215	0.713851962	1.331313377	0.3255275	1.316200566	0.637649674	0.778075636	0.728969503
"OS01G0164075"	0.683122204	1.522725644	1.089128911	0.441963939	0.469328558	0.469502117	0.920041393	0.609861948	10.16066438	0.672839949	0.956219797	0.622900802	0.531229968	0.470196329	0.485388574	0.535556848	0.657734939	0.630204876	0.436259149	0.440417218	0.506393042	0.313168053	0.360832669	4.779603558	5.667410317	1.820506956	5.111803261	1.281951414	0.38394169	67.47786031	0.882117633	0.361223663	0.311725038	1.586280312	0.445594614	6.85794536	0.700954528	13.64044058	0.626893005	0.579548245	0.673694781	19.67176126	0.849167815	1.590278766	1.359021281	0.489362805	0.242075042	50.10753526	0.240718799	0.220440958	0.262318256	0.770449301	0.254152153	0.250445934	0.842830342	0.264113004	0.291606773	2.477822584	0.330046955	0.260435672	0.272559099	0.541636293
"OS01G0208400"	5.952044767	5.29480959	6.053672443	9.565593727	21.31863737	11.67563122	9.700697498	5.055211187	7.218020175	12.4052323	12.65173865	16.14039356	26.4351371	1.668339612	1.551041286	0.567187164	2.757360963	2.221163757	1.158879164	6.361540255	850.2076236	316.7373676	1012.077069	751.4279404	7.924262771	10.88682963	7.435730426	11.19401468	23.43506192	9.855568458	1.995641303	6.225431903	9.946471771	10.79743454	18.20911433	11.79296283	8.954155163	5.652939224	11.33658484	7.187783142	21.485326	5.617407134	14.3445344	15.83888981	5.167824151	12.25054838	16.97920351	12.20399377	1.573506971	6.600046431	17.51005182	10.79607925	0.756584172	0.82106362	0.817189691	1.020831844	1.906372053	3.039049854	0.886598389	0.63933563	1.722970384	1.288835203
"OS01G0246200"	7.631216577	3.848119572	3.752631948	3.902680857	3.847973473	1.362552261	7.116550269	4.35013069	21.41898502	4.055273152	4.036181116	2.665816074	2.278298441	6.315317118	14.89968564	3.434376218	8.681607435	7.785379984	8.572224088	3.917217013	3.562640435	5.382034091	2.352892058	11.94894918	4.956701201	3.969938497	6.40059947	3.197315971	3.238909135	30.70520822	8.849709498	2.461948217	8.860844767	4.321917531	1.939585397	4.749777629	4.409830387	19.10364349	3.432915826	3.440659009	3.147231762	21.5656492	2.366026059	2.886433228	8.640517597	2.038698106	1.263717798	25.48602261	9.379574249	4.028384995	2.70162123	1.504987809	6.729495216	11.30710814	21.5319134	5.103997169	6.064803315	287.7293677	23.84181909	15.74513959	14.38789433	5.349252834
